model_variant,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_risk_mean,precision_risk_std,f1_risk_mean,f1_risk_std
generic_other_participants,0.621153207331573,0.07705412524550675,0.6293385235100558,0.06735620330921141,0.35333465638401274,0.15028925520423358,0.7776278732294977,0.11943759418175766,0.47145738092110384,0.12176312426148107,0.3835996009738171,0.1373857224306845
personal_augmented,0.7805723717830857,0.09682003211735545,0.7416687447014501,0.08594176420353984,0.6124804939627384,0.11779054568771267,0.8080147689578342,0.12622498673039206,0.6495284194958181,0.16118583600526537,0.6209349143812007,0.1162388351850461
personal_calibration_only,0.7665334307742309,0.09265753146733623,0.6983036465720202,0.09600803736758835,0.6724329497854308,0.09566775878609968,0.7106697730951576,0.11831274822180249,0.5642991700609001,0.14150128542500362,0.6092077133590665,0.11656878887479732
