held_out,auc,sens,spec,f1,youden_threshold,n,safe_n,risky_n
participant_01,0.559592887951097,0.3449920508744038,0.7979334098737084,0.4246575342465753,0.643396982953382,1500,871,629
participant_04,0.5679808751318005,0.49761526232114467,0.6883308714918759,0.5429314830875975,0.38501589192863284,1306,677,629
participant_05,0.6516269507522661,0.3853658536585366,0.8597701149425288,0.486652977412731,0.5105243302522579,1485,870,615
participant_06,0.6751103813172779,0.4666666666666667,0.8655172413793103,0.5648414985590778,0.5527902832867482,1500,870,630
participant_07,0.5438730218850237,0.3463917525773196,0.7623421354764638,0.39069767441860465,0.46436103521118727,1356,871,485
participant_08,0.4207901802838512,0.003745318352059925,0.996547756041427,0.0074211502782931356,0.6988051609725011,1403,869,534
