participant_id,auc,sens,spec,f1,youden_threshold,n,safe_n,risky_n
participant_01,0.8477615248226951,0.725,0.8936170212765957,0.7972508591065293,0.5133990921485705,301,141,160
participant_02,0.841799645390071,0.81875,0.950354609929078,0.8791946308724832,0.410589333705569,301,141,160
participant_03,0.6210549645390071,0.80625,0.48226950354609927,0.712707182320442,0.3174502265691124,301,141,160
participant_04,0.8509134615384616,0.80625,0.7461538461538462,0.8012422360248447,0.6190434577202697,290,130,160
participant_05,0.9166553977913005,0.903448275862069,0.8758169934640523,0.888135593220339,0.5025589594795608,298,153,145
participant_06,0.8119237588652481,0.80625,0.8652482269503546,0.8376623376623377,0.8348550355630158,301,141,160
participant_07,0.7633333333333333,0.9027777777777778,0.54,0.5676855895196506,0.4867818554472436,272,200,72
participant_08,0.8977815908812354,0.7317073170731707,0.9195979899497487,0.759493670886076,0.7705279429430066,281,199,82
participant_09,0.8179804419471608,0.6987951807228916,1.0,0.8226950354609929,0.8315257588363967,306,223,83
