participant_id,auc,sens,spec,f1,youden_threshold,n,safe_n,risky_n
participant_01,0.7686783531825684,0.7484276729559748,0.7021276595744681,0.74375,0.4107084687976936,300,141,159
participant_04,0.7327731092436975,0.5176470588235295,1.0,0.6821705426356589,0.5211368071686574,262,7,255
participant_05,0.7267241379310344,0.7310344827586207,0.7039473684210527,0.7162162162162162,0.5979266181090988,297,152,145
participant_06,0.83125,0.7375,0.8571428571428571,0.7919463087248322,0.7567663374206511,300,140,160
participant_07,0.6313194444444444,0.4166666666666667,0.885,0.48,0.8039325759599578,272,200,72
participant_08,0.8393185439392082,0.6585365853658537,0.9748743718592965,0.7659574468085106,0.8791412203370741,281,199,82
